Designator,Mid X,Mid Y,Rotation,Layer
AE1,-51.263922,-14.93822,120.0,top
C1,17.667464,-10.250186,120.0,top
C10,-14.521437,-17.880572,300.0,top
C12,-38.60344,-29.815582,150.0,top
C13,-36.466985,-29.89764,330.0,top
C15,-38.092471,-28.962664,150.0,top
C19,-39.633957,-21.456393,240.0,top
C2,12.644519,-13.150189,120.0,top
C20,-31.761063,-22.860403,60.0,top
C21,-40.943781,-20.73422,60.0,top
C22,-41.911562,-23.064542,150.0,top
C23,-36.255428,-20.265581,60.0,top
C24,-43.413174,-22.756984,240.0,top
C25,-46.963356,-25.36074,150.0,top
C26,-30.01652,-22.961859,330.0,top
C27,-48.08565,-23.5603,150.0,top
C28,-46.466975,-24.497629,150.0,top
C29,-30.515294,-23.834688,330.0,top
C3,7.881379,-15.900188,120.0,top
C30,-29.011155,-24.116327,60.0,top
C31,-48.236484,-20.634576,240.0,top
C32,-16.339789,-5.166712,30.0,top
C33,-11.059486,-7.312474,30.0,top
C34,-14.674906,-7.102449,30.0,top
C35,-12.59346,-2.655553,210.0,top
C36,-16.206909,-7.448003,300.0,top
C37,-14.236455,-8.294237,30.0,top
C38,-15.174906,-6.202446,30.0,top
C39,1.122922,-5.066899,300.0,top
C40,-0.965162,-10.381272,300.0,top
C41,0.021455,-6.102494,300.0,top
C42,3.691756,-8.847294,120.0,top
C43,-1.278786,-5.135918,210.0,top
C44,-2.128937,-7.053767,300.0,top
C45,-0.84661,-6.586612,300.0,top
C46,-32.464577,-14.504842,30.0,top
C47,-27.145517,-16.575241,30.0,top
C48,-30.783272,-16.431117,30.0,top
C49,-28.783272,-11.931109,210.0,top
C50,-32.315266,-16.776663,300.0,top
C51,-30.516648,-17.708106,30.0,top
C52,-31.283269,-15.531109,30.0,top
C53,25.443141,-18.763861,30.0,top
C54,25.361479,-17.393315,30.0,top
C55,23.492703,-14.2691,210.0,top
C56,16.043056,-24.249745,30.0,top
C57,15.910855,-22.894416,30.0,top
C58,13.439749,-20.427561,210.0,top
C59,6.652346,-29.793385,30.0,top
C60,6.532584,-28.444465,30.0,top
C61,4.061474,-25.977617,210.0,top
C62,-14.293489,-4.557562,60.0,bottom
C63,-33.819753,-31.678081,240.0,top
C65,-13.6449,-26.682113,120.0,bottom
C66,-6.637082,-18.876409,120.0,bottom
C67,-21.616305,-18.728048,60.0,top
C68,0.426317,-11.514417,120.0,bottom
C7,-43.395033,-26.396245,330.0,top
C70,3.06824,-18.563583,120.0,top
C71,-2.826697,-34.553262,300.0,top
C72,10.151888,-5.899352,120.0,bottom
C73,-32.883634,-30.039708,60.0,top
C74,-29.110871,-33.242055,60.0,top
C75,-30.707311,-29.087188,330.0,top
C76,-27.725394,-33.395572,60.0,top
C77,-4.97586,-25.019956,30.0,top
C78,-27.550155,-17.934545,60.0,bottom
C79,-39.766977,-26.297629,60.0,top
C8,-43.741051,-24.245316,330.0,top
C80,-34.08242,-24.030976,150.0,top
C81,-9.024209,-24.517118,30.0,top
C82,-5.940348,-20.638201,210.0,top
C83,-8.26022,-11.725314,210.0,top
C84,-4.388681,-18.125762,120.0,top
C85,-5.254707,-18.625764,120.0,top
C86,-9.251822,-20.702557,120.0,top
C87,-15.387466,-18.380572,300.0,top
C88,-27.509152,-30.186289,150.0,top
C89,-26.38208,-28.171742,150.0,top
C90,-25.232079,-26.179883,150.0,top
C91,-24.082077,-24.18802,150.0,top
C92,-16.535094,-29.922432,330.0,top
C93,-13.89394,-26.763587,60.0,top
C94,-19.193922,-28.567085,150.0,top
C95,-10.920966,-28.633307,60.0,top
C96,-12.679833,-27.644936,60.0,top
D2,-13.074912,-5.502451,300.0,top
D3,1.070639,-8.206938,210.0,top
D4,-29.183277,-14.831111,300.0,top
D5,-19.056733,-22.943947,240.0,top
FB1,-7.199459,-19.742289,210.0,top
FL1,-48.953463,-19.24966,120.0,top
L1,-49.78438,-17.843765,120.0,top
L2,-39.028302,-23.015287,60.0,top
L3,-38.64029,-24.418522,60.0,top
L4,-40.21099,-24.05361,150.0,top
L5,-20.936756,-32.346335,150.0,top
Q1,-37.186531,-6.95831,30.0,top
Q2,-22.173106,-21.715062,240.0,top
Q27,-35.386542,-10.076005,30.0,top
Q28,-21.10479,2.324197,30.0,top
Q29,-19.304787,-0.793495,30.0,top
Q30,9.772499,0.960237,330.0,top
Q31,7.972491,-2.157455,330.0,top
Q32,-26.474152,-0.775804,30.0,top
Q33,-24.674142,-3.893493,30.0,top
Q34,4.403139,4.060239,330.0,top
Q35,2.591329,0.939449,330.0,top
Q36,-42.555894,-10.058311,30.0,top
Q37,-40.755895,-13.176004,30.0,top
Q38,-15.735429,5.424199,30.0,top
Q39,-13.93542,2.306501,30.0,top
Q40,15.141844,-2.139762,330.0,top
Q41,13.340655,-5.263993,330.0,top
Q42,-31.817178,-3.858312,30.0,top
Q43,-30.009259,-6.991965,30.0,top
R1,-21.067539,-26.881687,240.0,top
R10,-43.390414,-18.854755,330.0,top
R11,-43.090882,-20.201648,150.0,top
R12,-44.783349,-19.238627,150.0,top
R13,-11.574915,-4.402456,210.0,top
R14,-12.093458,-3.521577,30.0,top
R15,34.887236,-17.313876,300.0,top
R16,33.897206,-15.624236,120.0,top
R17,-10.474908,-5.402452,300.0,top
R18,-6.15567,-26.865251,210.0,top
R19,-11.241043,0.354689,30.0,top
R2,-15.740242,-22.676048,150.0,top
R20,1.959706,-9.84729,120.0,top
R21,2.825729,-9.347293,300.0,top
R22,24.508081,-21.209459,120.0,top
R23,25.458083,-22.854902,300.0,top
R24,0.923707,-10.959161,210.0,top
R25,-4.483634,-25.891771,30.0,top
R26,-0.841052,-0.54531,150.0,top
R27,-27.683275,-13.731112,210.0,top
R28,-28.283273,-12.831113,30.0,top
R29,15.189237,-26.816989,120.0,top
R3,-16.917774,-23.726511,240.0,top
R30,16.123911,-28.435892,300.0,top
R31,-26.583273,-14.731114,300.0,top
R32,24.623208,-13.272029,120.0,top
R33,-27.322807,-8.927821,30.0,top
R34,26.25882,-16.154732,300.0,top
R35,15.085199,-19.47756,30.0,top
R36,16.846305,-21.634215,300.0,top
R37,5.706924,-25.027608,30.0,top
R38,7.497779,-27.195851,300.0,top
R40,-20.061626,-25.230572,240.0,top
R41,-20.750281,-19.22805,60.0,top
R42,-20.433295,-17.67901,150.0,top
R44,-16.427376,-14.765199,300.0,top
R45,-15.537748,-14.245034,120.0,top
R46,-19.250087,-25.721446,60.0,top
R47,-16.049629,-24.219062,240.0,top
R48,-20.217028,-27.393602,60.0,top
R49,-37.581899,-16.878417,210.0,top
R50,-39.227355,-17.828419,210.0,top
R51,-19.927879,-7.351962,300.0,top
R52,-18.960891,-10.026835,300.0,top
R53,-1.972352,-2.581569,210.0,top
R54,-3.105365,-1.619129,120.0,top
R55,-42.515224,-15.266519,300.0,top
R56,-41.56521,-16.911961,300.0,top
R57,-10.095382,-0.982341,30.0,top
R58,-8.439779,-0.022555,30.0,top
R59,8.429836,-8.036992,330.0,top
R6,-39.611115,-28.631207,240.0,top
R60,7.900414,-8.920002,150.0,top
R64,-22.098914,-9.008743,30.0,top
R65,-22.589559,-8.158011,210.0,top
R66,-18.282429,-6.401961,300.0,top
R70,-18.094865,-9.52683,300.0,top
R71,4.20515,-5.481305,300.0,top
R72,5.155151,-7.126759,300.0,top
R73,-34.635348,-7.714854,330.0,bottom
R74,-33.49032,-11.591494,60.0,bottom
R75,-18.52727,1.585154,330.0,bottom
R76,-17.468098,-2.256519,60.0,bottom
R77,10.858945,-2.345304,90.0,bottom
R78,7.779061,-3.071506,210.0,bottom
R79,-24.166247,-2.247868,60.0,bottom
R80,-21.989337,-4.236592,330.0,bottom
R81,3.758951,2.754693,210.0,bottom
R82,2.358953,0.054692,210.0,bottom
R83,-41.043936,-11.414854,150.0,bottom
R84,-38.100621,-13.557925,330.0,bottom
R85,-14.799771,2.928929,150.0,bottom
R86,-13.880749,1.335619,150.0,bottom
R87,14.458942,-3.445315,210.0,bottom
R88,13.18218,-7.783607,120.0,bottom
R89,-30.301627,-6.02106,150.0,bottom
R90,-29.351626,-7.66651,150.0,bottom
U1,-16.857332,-27.080572,150.0,top
U10,24.262442,-16.096908,210.0,top
U11,14.84993,-21.576372,210.0,top
U12,5.471656,-27.126431,210.0,top
U13,1.12401,-33.196082,30.0,top
U15,-31.041292,-31.66565,60.0,top
U2,-36.131242,-26.46971,240.0,top
U3,-45.846407,-21.728381,240.0,top
U4,-30.73323,-26.012169,150.0,top
U6,-8.514365,-18.301926,150.0,bottom
U7,-13.831908,-5.502569,150.0,bottom
U8,0.822573,-7.547522,240.0,bottom
U9,-29.930067,-14.850063,150.0,bottom
Y1,-34.012729,-21.560404,330.0,top
